FID,CellKey,RID,numPixels,avg_Band1
0,18-29,bio1_37.bil,13843,55537.000000
1,21-25,bio1_37.bil,14052,55537.000000
2,24-26,bio1_37.bil,14052,55537.000000
4,26-6,bio1_37.bil,14194,55537.000000
5,6-26,bio1_37.bil,14048,55537.000000
6,12-11,bio1_37.bil,14163,55537.000000
7,27-18,bio1_37.bil,14052,55537.000000
8,11-8,bio1_37.bil,14029,55537.000000
9,11-20,bio1_37.bil,14048,55537.000000
10,21-26,bio1_37.bil,14052,55537.000000
11,17-3,bio1_37.bil,14159,55537.000000
12,26-4,bio1_37.bil,14194,55537.000000
13,0-5,bio1_37.bil,14336,217.559570
14,14-4,bio1_37.bil,14190,55537.000000
15,27-10,bio1_37.bil,14167,55537.000000
16,17-14,bio1_37.bil,14177,39221.005855
17,1-19,bio1_37.bil,14092,190.827704
18,8-27,bio1_37.bil,14048,55537.000000
19,21-22,bio1_37.bil,14052,55537.000000
20,8-11,bio1_37.bil,14171,260.367864
21,9-20,bio1_37.bil,14048,55537.000000
22,24-3,bio1_37.bil,14159,55537.000000
23,2-28,bio1_37.bil,14048,37165.652548
24,27-6,bio1_37.bil,14194,55537.000000
25,26-28,bio1_37.bil,14052,55537.000000
26,10-28,bio1_37.bil,14048,55537.000000
27,21-17,bio1_37.bil,14162,55537.000000
28,4-25,bio1_37.bil,14048,55466.135464
29,18-12,bio1_37.bil,14177,51571.793609
30,16-19,bio1_37.bil,14048,201.491743
31,4-13,bio1_37.bil,14180,233.910790
32,25-28,bio1_37.bil,14052,55537.000000
33,1-22,bio1_37.bil,14092,235.417187
34,6-7,bio1_37.bil,14190,214.766385
35,26-9,bio1_37.bil,14167,55537.000000
36,6-10,bio1_37.bil,14171,228.076706
37,1-17,bio1_37.bil,14195,187.008101
38,16-23,bio1_37.bil,14048,200.166216
39,19-28,bio1_37.bil,14052,55537.000000
40,12-7,bio1_37.bil,14190,55537.000000
41,10-29,bio1_37.bil,13835,55537.000000
42,14-19,bio1_37.bil,14048,21968.807019
43,0-7,bio1_37.bil,14336,257.636719
44,6-23,bio1_37.bil,14048,55537.000000
45,28-20,bio1_37.bil,14052,55537.000000
46,7-21,bio1_37.bil,14048,55537.000000
47,14-18,bio1_37.bil,14048,7120.209781
48,9-23,bio1_37.bil,14048,55537.000000
49,18-22,bio1_37.bil,14052,55013.521563
50,0-1,bio1_37.bil,14232,198.961636
51,14-21,bio1_37.bil,14048,249.094675
52,4-27,bio1_37.bil,14048,55537.000000
53,3-24,bio1_37.bil,14048,240.122437
54,13-26,bio1_37.bil,14048,55537.000000
55,16-7,bio1_37.bil,14190,55537.000000
56,28-10,bio1_37.bil,14167,55537.000000
57,28-25,bio1_37.bil,14052,55537.000000
