key,alias,name,minval,maxval,unit,database,version,release,created,srs
bio19,b19,Precipitation of Coldest Quarter,0,5162,mm,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
tmax12,x12,"Mean Temperature, December",-484,417,deg C * 10,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
tmax11,x11,"Mean Temperature, November",-403,404,deg C * 10,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
tmax10,x10,"Mean Temperature, October",-286,402,deg C * 10,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
bio15,b15,Precipitation Seasonality (Coefficient of Variation),0,265,mm,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
prec9,p9,"Precipitation, September",0,1231,mm,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
bio10,b10,Mean Temperature of Warmest Quarter,-143,383,deg C * 10,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
bio11,b11,Mean Temperature of Coldest Quarter,-521,289,deg C * 10,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
bio5,b5,Max Temperature of Warmest Month,-96,490,deg C * 10,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
bio13,b13,Precipitation of Wettest Month,0,2949,mm,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
bio14,b14,Precipitation of Driest Month,0,752,mm,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
bio4,b4,Temperature Seasonality (standard deviation *100),0,22721,deg C * 100,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
bio16,b16,Precipitation of Wettest Quarter,0,8019,mm,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
bio17,b17,Precipitation of Driest Quarter,0,2495,mm,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
bio18,b18,Precipitation of Warmest Quarter,0,6090,mm,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
prec12,p12,"Precipitation, December",0,1041,mm,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
alt,a,Altitude,-431,8233,m,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
prec10,p10,"Precipitation, October",0,1238,mm,WorldClim,1.4,3,2006-01-04,+proj=longlat +ellps=WGS84 +datum=WGS84 +no_defs
